"Zaman damgası","I confirm that I have read, understood, and consent to the terms and conditions outlined above. ","Age","What is your gender identity? 
(Please select one of the options below or describe your gender identity.)","How do you identify your ethnic background?
(Please select the option that best describes you.) ","Do you identify as having a disability? ","What is your current relationship status?
(Please select the option that best describes your situation.) ","What is the highest level of education you have completed?
(Please select the option that best describes your educational attainment.) ","What is your current employment status?
(Please select the option that best describes your current employment status.) ","What is your current household income?
(Please select the option that best describes your current household income.) ","What is your current residency status?
(Please select the option that best describes your current residency status.) ","How many years have you been living in Merton? ","What is your religious affiliation?
(Please select the option that best describes your religious affiliation. ","Are you a parent or guardian? If yes, how many children are in your household under your care? ","Which volunteering projects are you involved in within the scope of Sustainable Merton? ","How long have you been volunteering with Sustainable Merton ? ","Do you have a previous volunteering experience before Sustainable Merton? ","How did you first get involved in volunteering? ","On average, how many hours per week do you spend volunteering? ","What kind of Sustainable Merton projects do you find the most rewarding? ","For the next six months, do you plan to increase, decrease, or maintain your current level of volunteer hours? ","In the next two years are you likely to continue volunteering with this organisation?","Have you ever encouraged someone else to volunteer with Sustainable Merton? ","I would encourage people to volunteer with Sustainable Merton ","How would you rate the impact of your volunteer work on the community? ","I feel that the volunteering work I do is recognized and respected by the community ","Volunteering can help me get my foot in the door at a place where I’d like to work. ","My friends volunteer.  ","I am concerned about those less fortunate than myself.  ","People I’m close to want me to volunteer. ","Volunteering makes me feel important.  ","People I know share an interest in community service.  ","No matter how bad I’ve been feeling, volunteering helps me to forget about it. ","I am genuinely concerned about the particular group I am serving.  ","By volunteering, I feel less lonely.  "," I can make new contacts that might help my business career.  ","Doing volunteer work relieves me of some of the guilt over being more fortunate than others.  ","I can learn more about the cause for which I am working.   ","Volunteering increases my self-esteem.     ","Volunteering allows me to gain a new perspective on things.    ","Volunteering allows me to explore different career options. ","I feel compassion toward people in need. ","Others with whom I am close place a high value on community service.  ","Volunteering lets me learn through direct “hands-on” experience. ","I feel it is important to help others. ","Volunteering helps me work through my own personal problems.  ","Volunteering will help me succeed in my chosen profession. ","I can do something for a cause that is important to me. ","Volunteering is an important activity to the people I know best. ","Volunteering is a good escape from my own troubles. ","I can learn how to deal with a variety of people.  ","Volunteering makes me feel needed.  ","Volunteering makes me feel better about myself.  ","Volunteering experience will look good on my resume. ","Volunteering is a way to make new friends. ","I can explore my own strengths. ","In your own words, what motivates you to volunteer? ","At my volunteer work, I feel bursting with energy. ","At my volunteer work, I feel strong and vigorous. ","I am enthusiastic about my volunteer work. ","My volunteer work inspires me. ","When I get up in the morning, I feel like going to my volunteer work. ","I feel happy when I am doing my volunteer work intensely. ","I am proud of the volunteer work I do. ","I am immersed in my volunteer work. ","I get carried away when I am doing my volunteer work. ","I believe that my volunteer activity supports the goals of the organisation. ","I am satisfied with how effectively I do the tasks that I am entrusted with ","The tasks I usually do have clearly defined goals. ","I can easily tell if I am performing my duties well. ","I am satisfied with the recognition of the role of volunteering in this organisation. ","I am satisfied with the interest shown by the organisation in considering my preferences and skills when matching me to a volunteer position. ","I am satisfied with the general management of the organisation. ","I am satisfied with the training provided. ","I am satisfied with how the organisation manages volunteers. ","I am satisfied with the amount and frequency of communication between volunteers and paid staff. ","I am satisfied with the existing processes that are in place to solve problems volunteers might encounter. ","What factors currently help your volunteering with Sustainable Merton? (Please select all that apply). ","What other factors could further facilitate your volunteering with Sustainable Merton? ","What barriers, if any, prevent or limit your engagement in volunteering?
(Please select all that apply.) ","Are there any additional barriers to volunteering that you would like to highlight? ","In what ways can Sustainable Merton provide better support to help you overcome the challenges you face?
(Select all that apply)","How familiar are you with the concept of sustainability and its importance? ","Do you feel your participation in Sustainable Merton projects (e.g., urban gardening, waste reduction) positively contributes to environmental sustainability? ","Which of the following benefits do you associate with your activities at Sustainable Merton? (Please select all that apply)","Do you understand how your activities help reduce the carbon footprint in the community? ","In your view, how does urban gardening contribute to sustainability? ","Are you aware of how your efforts in waste reduction directly impact the environment? ","Do you think participating in energy conservation projects has made you more conscious of energy usage in your daily life? ","Has volunteering with Sustainable Merton influenced you to adopt more sustainable habits at home (e.g., recycling, reducing water usage, etc.)? ","Do you believe Sustainable Merton’s initiatives are effectively raising environmental awareness in the community?","How often do you receive updates or communication from Sustainable Merton? ","How effective do you find the current communication channels (WhatsApp groups and emails) in keeping you informed about projects and events? ","Which communication method do you use most frequently to stay updated on Sustainable Merton’s activities? ","Do you feel the current communication methods allow you to easily ask questions or share your ideas? ","How would you rate the timeliness of updates and responses via the current communication methods? ","What challenges, if any, do you face with the current communication methods? (Select all that apply) ","Do you feel the current communication methods foster a sense of community among volunteers? ","How satisfied are you overall with Sustainable Merton’s communication methods? ","What additional features or improvements would you like to see in the communication methods? ","WhatsApp Community is a feature introduced by WhatsApp to enable the creation of larger, structured groups that bring together multiple related group chats under one overarching “community.” It is designed for organisations, schools, nonprofits, and other groups to manage communication more efficiently. It facilitates both broader announcements and focused discussions across various subgroups. 

https://www.youtube.com/watch?v=kwAdOPP2KUk&ab_channel=WhatsApp
Would you be open to exploring a more structured communication platform, such as WhatsApp Communities, for project-specific updates and general announcements? ","How important is it for you to have a single platform for both project-specific and general communication? ","If a new communication platform is introduced, how likely are you to use it regularly?(YouTube, TikTok, WhatsApp Communities, Discord etc.) "
"2024/11/25 1:51:01 ÖS GMT+1","Yes","45-54","Woman","White (e.g., British, Irish, European, etc.)","No","Married","Undergraduate degree (e.g., BA, BSc, HND)","Unemployed, looking for a job","£30,000 - £50,000","Homeowner","More than 5 years","Prefer not to say","1","Merton Garden Streets","3-5 years","Yes","Organisation or community group","6-10 hours","Growing Spaces","Maintain","7","Yes","5","4","3","4","5","7","4","3","5","6","6","3","3","1","6","2","4","4","7","5","7","6","6","4","7","4","6","6","2","2","3","5","6","It's fun! You meet like-minded people. There's no real pressure to achieve apart from your own expectations. The timings are usually very flexible ","5","5","6","5","5","5","6","6","6","6","6","6","6","7","7","7","6","7","7","7","Flexible volunteering hours;Opportunities to learn new skills;Recognition for contributions;Clear communication of roles and expectations;Opportunities for social interaction with other volunteers","Adding more projects that I'm interested in.","Lack of time due to personal or professional commitments","Only finances! 😁I'd volunteer full time if I didn't need to earn money. ","Offering training or skill development opportunities","5","4","Reducing waste and pollution;Improving biodiversity;Enhancing community awareness","5","Improves air quality Increases green spaces /","5","1","2","3","Monthly","Very effective","WhatsApp groups","Agree","Excellent","None","Agree","Satisfied","I'd like to receive notifications about important emails via WhatsApp. I often miss emails so a prompt is helpful. WhatsApp is so immediate. ","Yes","Neutral","Neutral"
"2024/11/25 2:16:55 ÖS GMT+1","Yes","65 and over","Woman","White (e.g., British, Irish, European, etc.)","No","Widowed","Undergraduate degree (e.g., BA, BSc, HND)","Self-employed","Prefer not to say","Homeowner","More than 5 years","Christian","I’m not a parent/guardian","Merton Garden Streets","Less than 6 months","Yes","Seen people requesting for volunteers and replied","2-5 hours","Growing Spaces","Maintain","7","No","4","3","3","1","2","7","1","1","2","5","7","4","1","1","5","4","5","1","7","2","7","7","3","1","7","1","3","4","1","3","1","4","4","I feel the need to help others less fortunate and find it an extremely r rewarding experience","4","3","6","4","5","5","5","6","6","6","6","7","5","5","5","5","6","6","5","5","Flexible volunteering hours;Opportunities to learn new skills;Opportunities for social interaction with other volunteers","Learning more about it.","Lack of time due to personal or professional commitments","No","Offering training or skill development opportunities;Creating more opportunities for social interaction and networking","3","3","Improving biodiversity","3","Improves air quality Increases green spaces /","3","4","4","4","Weekly","Very effective","WhatsApp groups","Agree","Good","None","Agree","Satisfied","Not sure","Unsure","Important","Likely"
"2024/11/25 2:25:39 ÖS GMT+1","Yes","55-64","Woman","Asian (e.g., South Asian, East Asian, Southeast Asian, etc.)","Yes","Married","Further education (e.g., A-levels, BTEC, NVQ)","Employed full-time (35+ hours per week)","Prefer not to say","Homeowner","More than 5 years","Christian","I’m not a parent/guardian","Merton’s Community Fridge","6 months to 1 year","No","School, university, or work program","2-5 hours","Waste","Maintain","6","Yes","5","5","4","6","5","7","5","4","4","5","7","5","4","5","6","5","7","2","7","6","6","7","6","2","6","6","6","5","3","4","5","4","5","Helping, supporting , giving back to our communities , very important ","5","3","5","4","3","6","6","5","5","7","6","6","6","6","5","6","6","7","7","7","Flexible volunteering hours","If my work place allows me to do more hours in a month to volunteer ","Full time work commitments ","More time allowed to carry out volunteering from work ","Offering more flexible volunteering schedules","5","4","Reducing waste and pollution;Supporting local food systems;Enhancing community awareness","5","Improves air quality Increases green spaces /","4","5","5","5","Daily","Very effective","WhatsApp groups","Neutral","Good","Overwhelming volume of messages","Neutral","Satisfied","Short, clear methods ","Yes","Very important","Neutral"
"2024/11/25 3:19:49 ÖS GMT+1","Yes","45-54","Woman","White (e.g., British, Irish, European, etc.)","No","Divorced","Further education (e.g., A-levels, BTEC, NVQ)","Homemaker","Prefer not to say","Homeowner","More than 5 years","Muslim","1","Merton’s Community Fridge","Less than 6 months","Yes","Making new friends socialising helping the community ","6-10 hours","Waste","Maintain","7","Yes","5","5","5","7","7","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","It builds my confidence talking to others and I am feeling good for helping people this is makes me feel good and usefull and happy in my soul . ","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","Opportunities to learn new skills;Recognition for contributions;Clear communication of roles and expectations;Opportunities for social interaction with other volunteers","Sharing  with the community, your own grown fruit and vegetables ","Lack of time due to personal or professional commitments","No ","Improving communication about roles and expectations;Offering training or skill development opportunities;Creating more opportunities for social interaction and networking;Providing better tools or resources for volunteering activities","5","5","Reducing waste and pollution;Supporting local food systems;Enhancing community awareness","4","Improves air quality Increases green spaces /","5","5","5","5","Weekly","Neutral","Email","Neutral","Neutral","Overwhelming volume of messages","Neutral","Neutral","I personally feel like Whatsup should be used for only relating about Community fridge not personal information!!! This is very important. ","Yes","Neutral","Neutral"
"2024/11/25 4:36:11 ÖS GMT+1","Yes","35-44","Man","Prefer not to say","No","Single","Further education (e.g., A-levels, BTEC, NVQ)","Employed part-time (less than 35 hours per week)","£20,000 - £30,000","Renting","1-3 years","Christian","I’m not a parent/guardian","Merton’s Community Fridge","6 months to 1 year","Yes","Friends or family","2-5 hours","Food Response","Increase","7","Yes","5","4","3","4","4","6","5","2","3","6","5","5","3","3","7","5","7","4","7","5","7","7","5","4","7","7","6","7","5","4","5","5","6","The fact the I helping my community and making a positive difference. ","4","4","6","6","6","5","6","6","2","7","7","7","7","5","4","6","5","7","7","5","Flexible volunteering hours;Opportunities to learn new skills;Clear communication of roles and expectations;Opportunities for social interaction with other volunteers;Availability of necessary tools or equipment","Volunteer staff meetings .","Lack of time due to personal or professional commitments;Unclear communication about opportunities or roles","We need volunteer staff meetings ","Offering training or skill development opportunities;Creating more opportunities for social interaction and networking;Recognizing volunteer contributions more frequently","5","5","Reducing waste and pollution;Supporting local food systems","4","Increases green spaces","5","4","5","4","Weekly","Very effective","WhatsApp groups","Agree","Good","Delayed responses","Strongly agree","Satisfied","Q and A sessions, weekly feedback ","Yes","Important","Likely"
"2024/11/25 5:14:49 ÖS GMT+1","Yes","45-54","Woman","White (e.g., British, Irish, European, etc.)","No","Married","Undergraduate degree (e.g., BA, BSc, HND)","Employed full-time (35+ hours per week)","£30,000 - £50,000","Homeowner","More than 5 years","No religion","2","Merton Garden Streets","1-3 years","Yes","Advertisement or social media","0-1 hours","Growing Spaces","Maintain","4","Yes","4","5","3","2","3","5","1","1","6","5","6","4","3","1","6","5","6","4","5","4","5","6","2","2","5","4","4","5","4","4","4","5","5","Need to improve where me and my family live","4","3","5","4","2","4","5","2","2","7","5","6","5","7","7","7","4","7","5","6","Flexible volunteering hours;Opportunities for social interaction with other volunteers","More outreach across the borough in poorer areas, engagement of people in Mitcham needs to be encouraged ","Lack of time due to personal or professional commitments;Difficulty accessing volunteering locations;Limited availability of resources or equipment","Seen as something that is only supported in more affluent areas of merton ","Offering more flexible volunteering schedules;Providing financial support for transportation or subsistence;Offering training or skill development opportunities;Creating more opportunities for social interaction and networking;Recognizing volunteer contributions more frequently","4","5","Improving biodiversity;Enhancing community awareness","5","Improves air quality Increases green spaces /","3","3","4","4","Monthly","Somewhat effective","Facebook","Disagree","Neutral","Delayed responses;Difficulty accessing information when needed","Neutral","Neutral","More publicity across the borough, more engagement with schools and more notice about projects and events ","Yes","Neutral","Likely"
"2024/11/25 5:51:40 ÖS GMT+1","Yes","65 and over","Man","White (e.g., British, Irish, European, etc.)","No","Married","Professional qualification (e.g., certifications, diplomas, licences)","Employed part-time (less than 35 hours per week)","£30,000 - £50,000","Homeowner","More than 5 years","Christian","I’m not a parent/guardian","Merton’s Community Fridge","Less than 6 months","Yes","Organisation or community group","6-10 hours","Growing Spaces","Maintain","7","Yes","5","5","5","1","7","7","7","2","7","6","7","5","1","1","6","2","6","2","7","7","7","7","4","3","7","7","1","6","4","2","1","6","5","I enjoy helping people and I feel strongly that everyone should make a contribution to the community. So I do my best yo set an example.","4","4","6","6","4","6","6","4","3","7","5","6","7","4","7","4","3","4","2","2","Flexible volunteering hours;Opportunities for social interaction with other volunteers","Volunteering helps the local community and brings people together in a productive way. ","Lack of time due to personal or professional commitments;Limited availability of resources or equipment","Muddled and contrdictory guidance from the Council ","Improving communication about roles and expectations;Offering training or skill development opportunities;Creating more opportunities for social interaction and networking;Providing better tools or resources for volunteering activities","5","5","Improving biodiversity;Enhancing community awareness","5","Improves air quality Increases green spaces /","5","5","5","3","Daily","Very effective","WhatsApp groups","Neutral","Good","Overwhelming volume of messages","Agree","Very satisfied","Items such as this survey get lost in the volume of Whats app messages. It would be good to separate out this important stuff.","Yes","Very important","Very likely"
"2024/11/26 7:30:14 ÖÖ GMT+1","Yes","65 and over","Woman","White (e.g., British, Irish, European, etc.)","No","Married","Further education (e.g., A-levels, BTEC, NVQ)","Retired","Prefer not to say","Homeowner","More than 5 years","Christian","I’m not a parent/guardian","Merton’s Community Fridge","1-3 years","No","Friends or family","2-5 hours","Food Response","Maintain","6","Yes","5","4","4","2","2","6","1","4","7","6","5","1","1","1","5","4","6","1","6","6","6","7","2","1","6","6","1","6","5","2","1","6","6","Things need to be done","3","3","5","5","4","4","4","1","1","6","6","6","6","3","5","3","3","2","4","5","Flexible volunteering hours;Opportunities for social interaction with other volunteers","Encouragement ","Lack of recognition or feedback","No","Offering training or skill development opportunities","5","4","Reducing waste and pollution;Enhancing community awareness","4","Promotes local food production","4","5","1","5","Weekly","Very effective","WhatsApp groups","Neutral","Neutral","Lack of clarity or details in messages","Neutral","Neutral","One WhatsApp group for messages, one for social interaction 
","Yes","Not very important","Likely"
"2024/11/26 10:24:50 ÖÖ GMT+1","Yes","18-24","Woman","Prefer not to say","No","Single","Undergraduate degree (e.g., BA, BSc, HND)","Employed part-time (less than 35 hours per week)","Prefer not to say","Renting","Less than 1 year","Christian","I’m not a parent/guardian","Growing Spaces","Less than 6 months","No","Advertisement or social media","2-5 hours","Growing Spaces","Increase","5","Yes","4","1","2","3","1","6","4","2","2","6","6","7","3","1","7","4","6","5","7","4","7","7","5","3","6","6","7","6","5","4","5","6","7","I like having something to do and giving back to the  community. ","5","6","5","6","3","6","6","5","5","7","5","5","5","5","5","7","5","7","6","6","Flexible volunteering hours;Opportunities to learn new skills;Clear communication of roles and expectations","If there were more days that the growing spaces were open","Lack of time due to personal or professional commitments","N/A","Offering more flexible volunteering schedules","4","4","Improving biodiversity;Supporting local food systems","4","Increases green spaces","5","4","4","4","Weekly","Very effective","Email","Strongly agree","Excellent","None","Agree","Satisfied","N/A","Yes","Neutral","Neutral"
"2024/11/26 6:19:56 ÖS GMT+1","Yes","65 and over","Woman","White (e.g., British, Irish, European, etc.)","No","Married","Professional qualification (e.g., certifications, diplomas, licences)","Retired","£30,000 - £50,000","Homeowner","More than 5 years","Quaker","I’m not a parent/guardian","Merton Garden Streets","3-5 years","Yes","Organisation or community group","6-10 hours","Growing Spaces","Maintain","7","Yes","4","3","4","1","2","5","1","1","2","3","6","1","1","3","4","3","4","1","5","1","3","6","1","1","7","1","1","2","2","2","1","1","3","I like to make a contribution/ do my bit","3","3","5","4","3","5","5","3","3","6","6","6","7","7","6","7","7","7","7","7","Flexible volunteering hours","More time","Lack of time due to personal or professional commitments","No","I can’t think of any ","5","4","Enhancing community awareness","4","Increases green spaces","5","3","3","5","Weekly","Very effective","Email","Agree","Excellent","None","Agree","Very satisfied","I can’t think of any ","Yes","Neutral","Likely"
